System, ManagementID, LastUpdate, Current OS, Status, Blueprint Failed IDs, Blueprint Failed Reason, Software Update Failures
MBP-V9MXJ5V7RG, 725eb934-b3a3-4f67-b401-99567e2fda07, 2025-10-02T13:25:15.413, macOS 26.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-10-02T09:23:06-04:00
MAC-N64N5916PD, 992983c4-fc00-48bc-9868-718f2ef2625e, 2023-10-26T18:17:48.668, macOS 15.7.3, success, , , count:0 reason:Error Domain=SUOSUErrorDomain Code=0 "(null)" timestamp:2023-10-26T14:16:56-04:00
MBP-D4RMC9XF9F, dd99354b-0314-446a-810a-10f65128e3bf, 2025-12-30T19:45:31.814, macOS 26.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7114 "[SUMacControllerErrorClientRequestedCancel=7114] Client (softwareupdated) requested cancellation of current update: [SUMacControllerError:7509]" UserInfo={NSLocalizedDescription=The client-requested cancellation completed.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorClientRequestedCancel=7114] Client (softwareupdated) requested cancellation of current update: [SUMacControllerError:7509]; NSUnderlyingError=0xb0cdaaa30 {Error Domain=SUMacControllerError Code=7509 "[SUMacControllerErrorAccessLost=7509] New access control request (SUMacControllerClientRequest(clientID:softwareupdated|command:SUMacControllerCommandCancelCurrentUpdate|cookie:8D6883E3-B6B8-4065-8471-E446873222C0.<34>)) has taken away control from the current client (SUMacControllerClientRequest(clientID:softwareupdated|command:SUMacControllerCommandDownloadAndPrepareUpdate|cookie:8D6883E3-B6B8-4065-8471-E446873222C0.<30>))" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessLost=7509] New access control request (SUMacControllerClientRequest(clientID:softwareupdated|command:SUMacControllerCommandCancelCurrentUpdate|cookie:8D6883E3-B6B8-4065-8471-E446873222C0.<34>)) has taken away control from the current client (SUMacControllerClientRequest(clientID:softwareupdated|command:SUMacControllerCommandDownloadAndPrepareUpdate|cookie:8D6883E3-B6B8-4065-8471-E446873222C0.<30>)); NSLocalizedDescription=The current software update operation was cancelled due to another process starting a new operation. Please try again later.}}} timestamp:2025-12-31T01:15:23+05:30
MAC-MPP60RW7TX, 5ea53bb9-ad7f-42cc-b248-d0275c0f679c, N/A, macOS 14.8.2, fail, 368d14b3-6059-4ec2-8cc5-be8bdd44b20c, Error.MissingConfigurations, count:0
MBP-PF4NC699K9, dcc2e0b9-9ef3-4276-9203-a3417157e3f7, 2025-11-17T14:31:34.004, macOS 15.7.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7749 "[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]" UserInfo={NSLocalizedDescription=Unable to save user credentials for software update at this time.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]; NSUnderlyingError=0x64084fa20 {Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background)" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background); NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.}}} timestamp:2025-11-17T09:31:19-05:00
MBP-Y7H0KFJYTD, dd434f38-9530-4cab-8cbe-ff81be02e8ce, 2025-11-13T14:54:58.869, macOS 15.7.3, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7749 "[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]" UserInfo={NSLocalizedDescription=Unable to save user credentials for software update at this time.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]; NSUnderlyingError=0x5fb0020d0 {Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background)" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background); NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.}}} timestamp:2025-11-13T07:54:25-07:00
MBP-JNJXXRKVXG, ddcf1ddd-80c4-49f8-87c5-10995eb2eb7b, 2025-10-07T18:44:11.087, macOS 15.7.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-10-07T14:41:10-04:00
MBP-MN7NWVK7T3, 8e4476fc-3226-41fe-891a-6a9cecb0a129, 2025-11-14T00:08:02.632, macOS 15.7.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7749 "[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]" UserInfo={NSLocalizedDescription=Unable to save user credentials for software update at this time.; SUMacControllerErrorIndicationsMask=0; NSDebugDescription=[SUMacControllerErrorCommitStashInvalidState=7749] Access control was denied; but no prepare is available for committing the stash (prepared update for another client): [SUMacControllerError:7507]; NSUnderlyingError=0x9700c8600 {Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background)" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Context (softwareupdated) already has control; but priority downgrades are not allowed (current:ClientInitiated requesting:Background); NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.}}} timestamp:2025-11-13T14:38:30-08:00
MBP-YFK945PXM5, 590e8fc8-c622-4a1e-b56c-b8a2ff383928, 2026-01-23T18:02:45.732, macOS 15.7.2, success, , , count:1 reason:Error Domain=SUMacControllerError Code=7723 "[SUMacControllerErrorPreflightPersonalizeFailed=7723] Failed to perform PreflightPersonalize operation: [MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_PERSONALIZATION_FAILURE(2)_1_PersonalizationErrorDomain(Personalization):kAMAuthInstallErrorServerNotReachable(11)|NetworkRequired|]" UserInfo={SUMacControllerErrorIndicationsSummary=|NetworkRequired|; SUMacControllerErrorIndicationsMask=1; NSLocalizedDescription=Failed to personalize the software update. Please try again.; SUMacControllerErrorIndicationsDescription=-> Network access is required.; NSDebugDescription=[SUMacControllerErrorPreflightPersonalizeFailed=7723] Failed to perform PreflightPersonalize operation: [MobileSoftwareUpdateErrorDomain(MSU):MSU_ERR_PERSONALIZATION_FAILURE(2)_1_PersonalizationErrorDomain(Personalization):kAMAuthInstallErrorServerNotReachable(11)|NetworkRequired|]; NSUnderlyingError=0x6a6827b70 {Error Domain=MobileSoftwareUpdateErrorDomain Code=2 "Could not personalize boot/firmware bundle." UserInfo={NSUnderlyingError=0x6a6827cc0 {Error Domain=PersonalizationErrorDomain Code=11 "AMAuthInstallBundlePersonalize() failed: Server not reachable" UserInfo={NSLocalizedDescription=AMAuthInstallBundlePersonalize() failed: Server not reachable}}; NSLocalizedDescription=Could not personalize boot/firmware bundle.; target_update=25C56}}} timestamp:2026-01-15T10:31:02-08:00
MBP-HDDXG71026, 56704f5c-92e2-4bb0-996d-d8cfeabc2932, 2025-10-27T17:26:56.68, macOS 15.7.2, success, , , count:0 reason:Error Domain=SUMacControllerError Code=7507 "[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied" UserInfo={NSDebugDescription=[SUMacControllerErrorAccessRequestDenied=7507] Access request was denied; NSLocalizedDescription=The software update request for this process was denied as another process is currently performing an operation. Please try again later.} timestamp:2025-10-24T21:28:41-04:00
